일자,언론사,기고자,제목
20170508,중앙일보,한영혜,"자유한국당 “홍준표, 문재인 2~3% 차이로 이길 것”"
20170508,매일경제,길나영,"자유한국당 측 ""문준용 지명 수배 선언 제보자에 홍준표 프리허그 기회 제공"""
20170508,한라일보,강동민 기자 min8390@hallailbo.co.kr,"자유한국당 제주도당 ""대한민국 위기 구할 후보 홍준표 뿐"""
20170508,머니투데이,"김민우
기자","홍준표 ""집권시 노동부장관에 김문수 전 경기지사"""
20170508,서울신문,이혜리,"자유한국당 “홍준표, 문재인 2~3% 차이 승리 확신”"
20170508,세계일보,이재호,"자유한국당 “홍준표, 문재인 따라잡았다”"
20170508,서울경제,박재영 기자,"홍준표, 장인 비난 “영감탱이 용돈 안 줘” “못말리는 준표씨” 노인학대죄? 박지원 대표"
20170508,매일경제,진주희,"홍준표 장인 맹비난, 뭐라고 말했길래? 박지원 국민의당 대표 ""노인학대죄 해당"""
20170508,헤럴드경제,한영훈 기자,홍준표 선거운동원도 ‘팬’이라는 박주민 의원
20170507,아주경제,박원식,[대선 후보 일정] 홍준표 자유한국당 후보 8일 마지막 유세 일정
20170507,세계일보,추영준,"홍준표, 네이버 대표 검찰 고발 ""文 아들 의혹기사 노출 축소"""
20170507,한국경제,이미나,"이언주 의원 ""홍준표 문재인 후보로는 나라 안 바뀔 것"""
20170507,한국경제,이미나,"[전문] 홍준표 측 ""문재인 아들 문준용 기사 노출 축소"" 네이버 대표 고발"
20170507,디지털타임스,이호승,"홍준표, 바른정당 탈당의원 13명 복당 단행"
20170507,아주경제,박원식,[대선 후보 일정] 홍준표 자유한국당 후보 7일 일정
20170507,YTN,강희경,"홍준표 ""오늘까지 친박 징계 해제 바른정당 의원 복당"""
20170506,한겨레,김남일,홍준표 ‘특별지시’로 56명 복권 복당 도로 새누리당
20170506,경인일보,디지털뉴스부,"자유한국당, 바른정당 탈당파 복당 친박 징계해제 ""홍준표 특별지시"""
20170506,국민일보,전수민 기자,"안 심, 친박 의원 복당시킨 한국당 맹비난 ""홍준표 사퇴해야"""
20170506,매일경제,이경서,"홍준표 ""바른정당 탈당 의원 받고 친박 징계 해제"" 지시"
20170506,한겨레,김남일,‘도로 새누리당’ 홍준표 “오늘 징계 다 풀고 다 입당”
20170506,서울경제,나윤석 기자,"홍준표, 바른정당 탈당 의원 12명 복당 친박 징계 해제 긴급 지시"
20170506,YTN,,"홍준표 ""오늘까지 친박 징계 해제 바른정당 의원 복당"""
20170506,헤럴드경제,김수한 기자,"자유한국당, 장애인 동원 불법선거 의혹 “홍준표 모의투표 연습까지”"
20170506,서울신문,장은석,"김어준의 파파이스, 이용주 의원 “찰스(안철수) 어려워진 이유는 홍준표”"
20170505,아주경제,박원식,[대선 후보 일정] 홍준표 자유한국당 후보 6일 유세 일정
20170505,파이낸셜뉴스,조지민,"[선택 2017] 자유한국당 “홍준표, TV 광고 시청률 1위”"
20170505,전자신문,박민희 기자,"전희경 의원 찬조연설 ""홍준표, 지독한 가난과 사회적 편견을 뚫고 헤쳐 온 사람"""
20170505,아주경제,박원식,[대선 후보 일정] 홍준표 자유한국당 후보 어린이날 일정
20170505,영남일보,임성수기자 s018@yeongnam.com,홍준표 자유한국당 대선후보 인터뷰 “대구 보수 무섭게 결집 朴 지지층 80%만 뭉치면 이긴다”
20170504,국민일보,최민우 인턴기자,"홍준표 ""세월호 보도 삭제는 언론 공작"" 자유한국당 SBS 항의 방문"
20170503,아주경제,문지훈,"자유한국당 '인공기 합성' 논란 안철수 측 ""홍준표 후보 사퇴해야"""
