일자,언론사,기고자,제목
20170309,매일경제,,"선관위, 문재인 비방기사 쓴 언론사 대표 '고발' 허위사실공표 혐의"
20170309,국민일보,김철오 기자,"주식시장, 대통령 탄핵 예감? ‘문재인 테마주’ 급등"
20170309,한국경제,,"더불어민주당 문재인 전 대표, 오늘 일정 없는 까닭  안희정 이재명 불교계 방문"
20170309,서울경제,서정명 기자,"[박대통령 탄핵] 문재인 ""새정부 초기 100일 로드맵 미리 준비해야"""
20170308,매일경제,,"홍준표 ""문재인 지지도는 박 대통령 실정 반대 급부 세계적 추세 우파의 집권"""
20170308,한국경제,,"이재명 ""문재인, 대통령 된 다음에나 전략성 모호성 얘기해야"""
20170308,중도일보,연선우 기자,"문재인 “대선 삼수는 없다, 정계은퇴하면 자유 찾을 것” 대통령 상상해본 적 있냐에는 "
20170308,중앙일보,이가영,"문재인의 외모 자신감 ""같은 값이면 멋진 대통령이 낫죠"""
20170308,한라일보,양영전 기자 yj@ihalla.com,"제주 더불어포럼, ""문재인 전 대표 지지한다"""
20170308,매일경제,한현정,문재인 외모자신감 “같은 값이면 멋진 대통령이 좋지 않나요?”
20170308,헤럴드경제,송형근 기자,문재인 “기왕이면 멋진 대통령이 낫죠 매력포인트는 눈”
20170308,서울경제,전종선 기자,"‘외부자들’ 문재인 “박근혜 대통령, 범죄 사실 무거워 100% 탄핵 될 것”"
20170308,국민일보,백상진 기자,"박영선 “안희정, 충청 대표서 국가대표로” 하승창 “문재인, 서울서 이룬 혁신 전국 확산”"
20170307,부산일보,미디어본부16,"'외부자들' 문재인, ""박근혜 대통령 100% 탄핵된다"" ""사법처리 당연"""
20170307,아주경제,최신형,"문재인, 대통령 당선 가능성 67.1% 지지율의 2배 ‘대세론’ 공고"
20170307,대전일보,인상준,"인명진 비대위원장 ""문재인 대통령 된다해도 국정수행 어려울 것"""
20170307,머니투데이,이동훈,[사진]경제현안 점검회의 참석한 문재인 전 대표
20170307,머니투데이,이동훈,[사진]경제현안 점검회의 참석한 문재인 전 대표
20170307,머니투데이,이동훈,[사진]경제현안 점검회의 참석한 문재인 전 대표
20170307,경향신문,김창길 기자 cut@kyunghyang.com,[경향포토]면도칼 문 대통령
20170307,경향신문,권호욱 기자 biggun@kyunghyang.com,[경향포토]제1차 경제현안 점검회의 박수치는 문재인 전 대표
20170307,아시아경제,윤동주,[포토]발언하는 문재인 전 대표
20170307,한라일보,부미현 기자 bu8385@ihalla.com,제주 지역 문재인 전 대표 지지 모임 출범 예고
20170307,매일경제,진주희,"김종인,`더불어민주당` 탈당 임박 소식에 문재인 당권 신경전 재조명 유시민 일침"
20170306,세계일보,박성준,문재인 “대통령 파면은 역행할 수 없는 순리”
20170306,아주경제,유진희,"?문재인 전 대표, “북한 안전과 번영, 핵무기가 보장하는 것 아냐”"
20170306,아주경제,유진희,"문재인 전 대표, ""헌법 유린한 대통령 파면 정의의 출발"""
20170306,머니투데이,신희은,"KNN ""문재인 대표와 친분 풍문 주가에 영향 미칠 사항 아냐"""
20170306,YTN,,"문재인 ""박 대통령, 탄핵 처벌 못 피해"""
20170306,중부매일,김성호 기자,"이인제 전 최고위원, ""대선 본선서 문재인 전 대표 이길 수 있다"""
20170306,서울경제,권경원 기자,"문재인측 ""특검 수사, 朴 대통령 탄핵 사유 명확해져"""
20170306,머니투데이,사진부,[사진]더민주 대선 후보 토론회 참석한 문재인 전 대표
20170306,머니투데이,이건희,"이재명 ""유능한 개척자"" 문재인 ""준비된 대통령"" 안희정 ""통합의 리더십"""
20170306,한라일보,온라인뉴스팀기자 hl@ihalla.com,오마이TV 더불어민주당 이재명 안희정 문재인 최성 후보 토론회
20170306,아시아경제,윤동주,[포토]발언하는 문재인 전 대표
20170305,헤럴드경제,전창협 기자,"김무성 “박대통령, 비참한 최후맞을 것, 문재인 안희정 이재명 자격없다”"
20170305,아시아경제,황진영,"문재인 전 대표, 후원금 모집 이틀 만에 7억원 돌파 “1만여 명 자발적 참여”"
20170304,아주경제,이정주,"[아주동영상] 정우택 “문재인 전 대표, 사드배치에 대한 명확한 입장 밝혀야”"
20170304,대전일보,申昊澈,[포토]대전 방문한 문재인 더불어민주당 전 대표
20170304,경인일보,강기정,"남경필 ""문재인 전 대표 빼고 모두 사드 배치 찬성 文도 찬성해야"""
20170304,머니투데이,김유진,"대전 찾은 문재인 ""국민과 소통하는 대통령 되겠다"""
20170304,아주경제,김혜란,"손학규 ""안철수, 문재인 넘어 결국 내가 대통령 될 것"""
20170304,매일경제,,"문재인 전 대표 ""권선택 대전시장, 우리가 지켜내자"""
20170303,머니투데이,사진부,[사진]더민주 대선 후보 토론회 준비하는 문재인 전 대표
20170303,서울경제,권경원 기자,"문재인 안희정 이재명 ""누구나 법 앞 평등...朴 대통령 엄중 사법처리"""
20170303,매일경제,,"더불어민주당 토론회 중계, 문재인vs안희정 '대연정' 정면 충돌"
20170303,중앙일보,박상욱,더불어민주당 대선주자 토론회 '첫 테이프' 문재인 안희정 이재명 최성 참여
20170302,아시아경제,황진영,문재인 전 대표 미디어특보단장에 민병욱 전 동아일보 논설위원
20170302,매일경제,,"문재인 전 대표, 공인인증서 없애 ""ICT 산업의 잠재력 높인다"""
20170302,한국경제,,"더불어민주당 문재인 안희정 이재명, 오늘 주목되는 동선"
20170301,한국일보,전혼잎,박지원 “대통령 돼도 잡아뗄거냐” vs 문재인 “국민 보고 정치하자”
20170301,중부일보,,만세 외치는 문재인 전 대표
20170301,부산일보,장병진,문재인이 북한 정치인? 문 전 대표 측 수사 의뢰 검토
20170301,매일경제,이경서,"홍준표 “문재인, 자기 대장이 뇌물먹고 자살한 사람 대통령감 아냐”"
20170301,경향신문,조미덥 기자 zorro@kyunghyang.com,"박지원, 문재인에 “대통령 돼서도 문제 되면 문자폭탄으로 린치할 건가”"
20170228,YTN,,"문재인 ""국회 직권상정해서라도 특검법 통과시켜야"""
20170228,머니투데이,진달래,"문재인 전 대표 테러 예고한 50대, 찜질방서 검거"
20170228,중도일보,연선우 기자,"문재인, 황교안 탄핵 찬성? “끝까지 나쁜 총리 나쁜대통령과 최악의 한팀, 엄중한 책임 지게될 것”"
20170227,경상일보,김두수 기자,"더불어민주당 문재인 지지율 33.5%, 최고치 경신"
20170227,한겨레,이세영,문재인 “나쁜 대통령 나쁜 총리 최악의 한 팀”
20170227,부산일보,미디어본부15,JTBC 뉴스룸 '2017 대선주자 릴레이 인터뷰' 문재인 전 대표 출연 예고
20170227,서울경제,장주영 기자,"황교안, 문재인 ""대통령과 총리가 헌법유린-국정농단의 한 몸"" 맹비난"
20170227,한국경제,,"문재인 ""황교안-朴대통령 부끄러움도 전혀 없는 최악의 한팀"""
20170227,서울신문,이혜리,"문재인 “황교안-朴대통령, 부끄러움도 없는 최악의 한 팀”"
20170227,경인일보,박주우,"문재인 ""국민에 대한 도발 끝까지 나쁜 대통령과 총리"""
20170227,아주경제,김혜란,"문재인 ""황교안, 朴 대통령과 국정 농단 한 몸통 자임"""
20170227,아시아경제,황진영,"[특검 연장 불허]문재인 “끝까지 나쁜 대통령, 끝까지 나쁜 총리 최악의 한팀"""
20170227,서울경제,권경원 기자,"문재인 “황교안, 朴 대통령과 국정농단 한 몸통”"
20170227,매일신문,박상전 기자,"손학규 ""문재인이 민주 후보 될 것, 안희정 지사는 대통령 병 걸려서 """
20170227,충청투데이,박명규 기자,판사 임용 좌절된 문재인 부산서 노무현 전 대통령과 인권변호사 생활
20170227,국민일보,강준구 기자,"문재인 前 대표 부인 김정숙 여사, 2012년 대선 패배 회상하다 눈물"
20170226,머니투데이,이동훈,[사진]아이 안아주는 문재인 전 대표
20170226,매일경제,,문재인 전 대표 지지율 30% 중반 안희정 충남지사는 하락
20170226,경향신문,김지환 기자 baldkim@kyunghyang.com,문재인 “박 대통령 탄핵 기각돼도 정치인은 승복해야”
20170225,아시아경제,조인경,[17차 촛불집회]광화문 나선 대선 주자들 문재인 대표 경호 강화
20170225,헤럴드경제,한영훈 기자,문재인 “박 대통령 자진사퇴가 정치적 흥정 대상 될 수 없다”
20170225,매일경제,김정범,"문재인 ""탄핵심판 결과 승복할 수 밖에 없어 국민통합 대통령 되고싶다”"
20170225,경향신문,강윤중 기자 yaja@kyunghyang.com,[경향포토]17차 촛불집회 참석한 민주당 문재인 전 대표와 박원순 서울시장
20170225,경향신문,강윤중 기자 yaja@kyunghyang.com,[경향포토]17차 촛불집회 참석한 더불어민주당 문재인 전 대표
20170225,경향신문,강윤중 기자 yaja@kyunghyang.com,[경향포토]17차 촛불집회 참석한 민주당 문재인 전 대표와 추미애 대표
20170225,YTN,,"문재인 ""박 대통령 자진 사퇴 정치적 흥정 안 돼"""
20170225,매일경제,,"촛불집회 온 문재인 ""朴대통령, 자진사퇴 바람직하지만 탄핵은 그대로 돼야"""
20170225,매일경제,,[정운갑의 뉴스와이드] 대권주자 탐구생활 - 문재인 전 대표 부부가 사는 법?
