일자,언론사,기고자,제목
20181231,충청일보,충청일보,[신년사] 대한민국 대통령 문재인
20181231,한국일보,정상원,문 대통령 “경제실패 프레임 강력 작동 성과 제대로 전달 안돼”
20181231,한국일보,정상원,문 대통령 “국민 눈높이 못 맞추면 청와대 못 있어 처신ㆍ언행 조심”
20181231,한국일보,손효숙,문 대통령 지지율 45.9%... 취임 후 최저치로 2018년 마무리
20181231,한국일보,인현우,푸틴 “트럼프와 대화 의사 있어” 문 대통령 등 각국 정상에 새해인사
20181231,전북일보,전북일보,"[신년사] 문재인 대통령 ""돌이킬 수 없는 평화 만들겠다"""
20181231,YTN,김승환,"문 대통령 ""새해엔 성과 내야""...비서진 '조기 개편' 검토"
20181231,YTN,,"문 대통령 ""조국 출석 요구는 '정치 공세'...민생법안 위해 수용"""
20181231,서울신문,오세진,"조국, 문 대통령 딸 빌라 매매 논란에 “불법 탈세 없었다”"
20181231,매일경제,,"조국, 문대통령 딸 빌라 매각 의혹에 ""불법 탈세 없었다"""
20181231,중도일보,오주영 기자,문 대통령 지지율 취임 후 최저치로 2018년 마감
20181231,경향신문,허남설 기자 nsheo@kyunghyang.com,"조국, 문 대통령 딸 ‘주택 매각’ 의혹 제기에 “아무리 대통령 자녀라도 ”"
20181231,OBS,최진만,"문 대통령 ""조국 출석은 정치 공세 국민 소통 강화"""
20181231,매일경제,,"문대통령 ""경제실패 프레임 안타까워 국민 소통 강화해야"""
20181231,한겨레,성한용,문재인 대통령 한국당 2019년 이들의 운명은
20181231,중부일보,김재득,"문재인 대통령 ""2018년 평화 협력시대 전환 역사적 한 해"""
20181231,OBS,최진만,"문 대통령 ""조국 수석 국회 출석요구는 정치공세"""
20181231,YTN,,"문 대통령 ""경제 보완책 집행하면 내년엔 성과 기대"""
20181231,한겨레,성연철,문 대통령 “국민 눈높이 맞출 수 없다면 청와대에 있을 수 없다”
20181231,YTN,,"문 대통령 ""처신 조심해야...'개혁의 역설' 지치면 안 돼"""
20181231,MBC,이덕영,"문 대통령 '엄격한 처신' 당부 ""초심 지켜달라"""
20181231,SBS,정유미 기자,"문 대통령 ""국민 눈높이 못 맞추면 靑에 못 있어 초심 지켜야"""
20181231,경향신문,김기남 기자 kknphoto@kyunghyang.com,[경향포토] 문재인대통령 여당지도부 초청 간담회
20181231,경향신문,김기남 기자 kknphoto@kyunghyang.com,[경향포토] 여당지도부의 박수 받는 문재인대통령
