일자,언론사,기고자,제목
20121219,중앙일보,김경진.김경빈,문 “퇴근 후 서민들과 소주 한잔  그런 대통령 되겠다”
20121219,경남도민일보,조문식 기자,"문재인 ""서민눈물 닦아 드리는 대통령으로"""
20121219,파이낸셜뉴스,정지우,[첫 여성 대통령] 문재인 패배 승복
20121219,머니투데이,김성휘|기자,"문재인 ""朴 당선인 축하..나라 잘 이끌어달라"""
20121219,한겨레,조혜정,박 “다시 한번 잘 살아보세 신화 이루겠다” /문 “국민 눈물 닦아주는 힐링대통령 될것”
20121219,전자신문,김원석,"[2012 대선]문재인 ""국민들의 눈물과 고통 덜어주는 힐링대통령 되겠다"""
20121218,아주경제,박성대,"문재인 ""힐링 대통령 될 것"" vs 박근혜 ""'잘 살아보세' 신화 이루겠다"""
20121218,경향신문,,문 “5년 실정에 가혹한 매를” “MB와 다른 민생대통령”
20121218,아시아경제,김승미,"문재인 ""눈물을 닦아드리는 대통령 되겠다"""
20121218,KBS,김덕원,문재인 “친구 같은 국민 모두의 대통령 될 것”
20121218,헤럴드경제,정덕상 기자,박근혜대통령? 문재인대통령? 19일 밤 11시돼야 윤곽
20121218,머니투데이,김성휘|기자,"문재인 ""희생하고 헌신하는 대통령 될것"""
20121218,한겨레,신승근,정치개혁 /박 ‘대통령 국회 개혁’ 정치복원 문 ‘초당파적 내각’ 통합정치
20121218,헤럴드경제,양대근 기자,"문재인 마지막 기자회견 “국격있는 나라, 품격있는 대통령 되겠다”"
20121218,한국경제,한경닷컴,"[대선 D-1] 문재인, 수도권 유세 일정 마무리 ""대통령 당선되면 말춤 추겠다"""
20121217,경향신문,,"[경향포토]문재인 후보 ""대통령 만들어 주시겠습니까"""
20121217,경향신문,,"[경향포토]문재인 ""대통령 만들어 주시겠습니까?"""
20121217,MBC,,"문재인 ""남대문서 옷사는 이웃같은 대통령"""
20121217,경인일보,정의종,"박근혜 ""중산층 70%까지 회복"" 문재인 ""제왕적 대통령 개혁"""
20121217,머니투데이,용인(경기)=박광범|기자,"문재인 ""朴, 여의도 대통령이라 부르지 않았나"""
20121217,한겨레,"김보협
류이근
김소연
류이근",박 ‘대통령 국회 개혁’ 정치복원 문 ‘초당파적 내각’ 통합정치
20121217,한겨레,김보협,토론회 스케치 /문 “MB 실정때 박후보 뭐하셨냐” 따지자 /박 “그래서 대통령 되려 하잖아요” 맞받아
20121216,경향신문,,"손수조 ""문후보, 의원직 도둑질하더니 대통령직도..."""
20121216,아시아경제,김승미,"[TV 토론] 문재인 ""대통령따라 나라 품격 달라진다"""
20121216,한겨레,김동훈,문 “MB 실정때 박후보 뭐하셨냐” 따지자 박 “그래서 대통령 되려고 하잖아요” 반복
20121216,한국경제,한경닷컴,"[대선 D-3] 문재인 ""대통령 따라 나라 품격 달라져"""
20121215,아주경제,권경렬,"'앵콜 광화문 대첩' 5만명 운집 지지자들 ""문재인 대통령"" 한 목소리"
20121215,매일신문,서명수기자 diderot@msnet.co.kr,"박근혜 ""준비된 여성 대통령 부각"" vs 문재인 ""역전 마지막 승부처 총력"""
20121215,부산일보,,"문재인 부산 서면 빗속 집중유세 ""부산이 자랑스러할 대통령!"""
20121215,MBC,,"문재인, 광화문 집회 ""소통하는 대통령"""
20121215,중부일보,,"문재인 ""PK 출신 대통령 만들어보자"""
20121215,한국경제,이현진,"[대선 D-4] 문재인 ""PK출신 대통령 만들어달라"""
20121214,한라일보,오은지 기자 ejoh@ihalla.com,“새 시대 열 대통령은 문재인 후보”
20121214,광주일보,박지경,청중들 “대통령 문재인” “고맙다 안철수” 연호
20121214,경상일보,서찬수,*사진설명= 민주통합당 문재인 대통령 후보는 12일 서울 영등포
20121214,서울경제,권경원,"박근혜 ""말 바꾸는 문재인, 대통령 될 자격있나"""
20121213,매일경제,김명준,"[대선 D-6] 박근혜 ""안보 대통령 뽑아야"" 문재인 ""내년 20조 추경"""
20121213,경향신문,박홍두,"“대통령 집무실, 광화문으로 옮기겠다” 문재인, 청와대 이전 안철수 공약 수용"
20121213,충청투데이,이병욱 기자,문재인 “新광화문 대통령 시대”
20121213,경인일보,,"문재인 ""대통령 집무실 광화문으로"""
20121213,경인일보,김순기,"문재인 ""대통령 집무실 광화문으로"""
20121213,한겨레,김보협,문 “대통령 집무실 광화문으로”
20121212,아주경제,박성대,"문재인 “대통령 집무실, 정부청사로 이전 청와대 개방한다”"
20121212,전자신문,김원석,"[2012 대선]문재인, ""대통령 집무실 광화문으로, 청와대는 국민께 개방"""
20121212,중부일보,,"문재인, ""대통령 집무실 정부종합청사로 이전""하겠다"
20121212,중도일보,서혜영,지역교수 81명 '文 지지' 대전ㆍ충남ㆍ세종 지역 교수 81명을 대표하는 지역교수들이 11일 민주통합당 시당사에서 기자회견을 열고 문재인 후보 지지선언을 하고 있다.
20121212,머니투데이,김성휘|기자,"[전문]문재인 ""대통령 집무실, 정부청사로 이전"""
20121212,부산일보,,"문재인 ""대통령 집무실 광화문으로 이전하고 청와대 개방"""
20121212,경향신문,,"[경향포토]문재인 대선 후보, ""대통령되면 집무실 이전하겠다"""
20121212,경향신문,,"[경향포토]문재인 후보 ""대통령 되면 집무실 정부청사로 옮기겠다"""
20121212,경향신문,,"문재인 “대통령 집무실, 광화문 청사로 이전하겠다”"
20121212,경향신문,,"문재인 ""대통령 되면 청와대 안 쓴다"" 왜?"
20121212,경향신문,,"“대통령 집무실, 광화문으로 옮기겠다” 문재인, 청와대 이전 안철수 공약 수용"
20121212,경향신문,,"[경향포토]문재인 ""대통령 집무실 광화문 청사로 이전하겠다"""
20121212,서울경제,손철,"문재인 ""대통령 집무실, 광화문 정부청사로 이전"""
20121212,서울경제,,"문재인 “대통령 집무실, 광화문 중앙청사로 이전”"
20121212,MBC,,"문재인 ""대통령 집무실 광화문 청사로 이전"""
20121212,매일경제,,"문재인 ""대통령 집무실 광화문 중앙청사로 이전"""
20121212,한겨레,,문재인 “대통령 집무실 광화문으로”
20121212,한겨레,구본권,문재인 “대통령 집무실 정부종합청사로 이전” 청와대는 국민에 개방
20121212,머니투데이,김성휘|기자,"문재인 ""청와대 대통령 시대 끝낼 것"""
20121212,머니투데이,김성휘|기자,"문재인 ""대통령 집무실, 광화문 청사로 옮길것"""
20121212,SBS,손석민,"문재인 ""대통령 집무실, 정부종합청사로 이전"""
20121212,한국경제,,"[대선 D-7] 문재인 ""대통령 집무실 정부 청사로 이전할 것"""
20121211,아주경제,박성대,문재인“청와대에 고립되지 않겠다 시민들과 호프 한 잔하는 대통령 될 것”
20121211,헤럴드경제,육성연 기자,문재인 “시민과 호프 한잔하는 대통령되겠다”
20121211,대구일보,이상훈,박 “준비된 대통령”면모 부각 vs 문 “경제민주화 적임자”
20121211,경향신문,,문재인 “투표율 77% 되면 제가 대통령 당선된다”
