일자,언론사,기고자,제목
20170508,경향신문, 권호욱 선임기자,[경향포토]국회에서 지지 호소하는 심상정
20170508,내일신문,이재걸,"심상정 정의당 후보 ""더 강한 개혁"" 마지막 호소"
20170508,아주경제,이정주,??[오늘의 국회 일정(8일)] 추미애 정우택 박지원 주호영 심상정 종합
20170507,아주경제,박원식,[대선 후보 일정] 심상정 정의당 후보 8일 마지막 유세 일정
20170507,전북도민일보,소인섭 기자,"심상정 정의당 후보, 전북표심 공략"
20170507,충북일보,안순자,정의당 심상정 후보 청주 방문
20170507,아주경제,박원식,[대선 후보 일정] 심상정 정의당 후보 7일 일정
20170506,아시아경제,권재희,[대선후보 부동산 공약]정의당 심상정 후보 서민주거안정에 초점
20170505,아주경제,박원식,[대선 후보 일정] 심상정 정의당 후보 6일 유세 일정
20170505,아주경제,박원식,[대선 후보 일정] 심상정 정의당 후보 어린이날 일정
20170504,전북도민일보,박기홍 기자,"심상정 정의당 후보 전북 공략, 15% 득표한다"
20170504,한라일보,강동민 기자 min8390@hallailbo.co.kr,정의당 심상정 대통령 후보 제주 유세
20170504,아주경제,김혜란,??[오늘의 국회 일정(4일)] 추미애 정우택 박지원 주호영 심상정 종합
20170503,충북일보,안순자,"장애인 노동계운동 활동가, 정의당 심상정 후보 지지"
20170503,전자신문,이희진 기자,"[마지막 tv토론] 심상정, 바른정당 유승민에 ""힘내라""...탈당 의원에 ""경우없는 형태 기가막혀"""
20170502,중앙일보,오원석,"우상호 ""정의당은 다음에""...심상정 ""갑질, 文 해명해야"""
20170502,세계일보,이제원,[포토] 정의당 심상정 대표 '지방분권개헌국민협약서' 서명식
20170502,헤럴드경제,김영은 기자,심상정 11% 넘자 민주당 “정의당 지지 나중에 해” 견제
20170502,매일경제,강영국,[포토] 심상정 후보 지원하는 이정미 의원
20170502,중부일보,홍지예,"'마지막 TV토론' 심상정, 바른정당 탈당 의원에 일침 ""유승민 지지율 낮다고해서 그렇게 살지 말라"""
20170502,아주경제,김혜란,??[오늘의 국회 일정(2일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170501,중부매일,김성호 기자,"심상정 정의당 후보, 2일 지방분권 개헌 국민협약 체결"
20170501,파이낸셜뉴스,한영준,대선후보 배우자를 만나다 - 심상정 정의당 후보 남편 이승배씨
20170501,아주경제,최신형,??[오늘의 국회 일정(1일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170501,헤럴드경제,한영훈 기자,심상정 “문재인 비판하면 정의당 날아갈 것 같다”
20170430,세계일보,유태영,심상정 “정의당 보수 경쟁이 이로운 구도될 것”
20170430,한국경제,,"심상정 후보, 지지율 상승 정의당 '선거비용 보전' 기대감"
20170429,경인일보,조재현,"[경인포토]정의당 심상정 대선후보, 주말 인천 집중 유세"
20170429,경인일보,조재현,[경인포토]정의당 심상정 후보 '투표권은 없어도'
20170429,경인일보,조재현,[경인포토]정의당 심상정 대선후보 인천 집중 유세
20170429,경인일보,조재현,[경인포토]정의당 심상정 대선후보 인천 집중 유세
20170429,경인일보,조재현,[경인포토]정의당 심상정 대선후보 인천 집중 유세
20170429,서울경제,김경민 기자,"정의당 심상정, “안철수 후보는 보수표 받아서 집권하는데 목적 있는 듯”"
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세4
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세3
20170429,YTN,,"문재인 ""공론화 국회 비준 거쳐야"" vs 심상정 ""돈 내라고 하면 가져가라"""
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세2
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세4
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중유세1
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세8
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세1
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세4
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세5
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세6
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세7
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세5
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세8
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세4
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세2
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세1
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세3
20170429,경인일보,조재현,정의당 심상정 대선후보 인천 집중 유세
20170428,세계일보,이제원,[포토] 심상정 정의당 대선 후보 마크 네퍼 주한 미 대사대리 접견
20170428,경향신문,허남설 기자 nsheo@kyunghyang.com,"[대선후보 TV 토론] 사드 놓고 공방...문재인 “국회비준”, 심상정 “철회해야”"
20170428,MBC,,[여의도는 지금] 정의당 심상정 후보 지지율 상승 원동력은?
20170428,아주경제,이정주,??[오늘의 국회 일정(28일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170427,세계일보,이제원,[동영상] 지지 호소하는 심상정 정의당 대선후보
20170427,세계일보,이제원,[포토] 성소수자 안아주는 심상정 정의당 대선 후보
20170427,아주경제,이정주,??[오늘의 국회 일정(27일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170426,경상일보,김동수 기자,"심상정 정의당 대선후보, 울산시민들에게 지지호소"
20170426,경상일보,경상일보,"심상정 정의당 대선후보, 울산 현대중공업 방문"
20170426,헤럴드경제,유은수 기자,심상정 ‘토론 효과’ 정의당 가입ㆍ후원 폭주 ‘행복한 비명’
20170426,아주경제,이정주,?[오늘의 국회 일정(26일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170425,경향신문,정희완 기자 roses@kyunghyang.com,"[대선 정책 브리핑]정의당 심상정 후보 - 여성가족부, 성평등부로 전환 남녀 동수내각 약속"
20170425,세계일보,한윤종,[포토] 대선토론 참석하는 심상정 정의당 후보
20170425,중도일보,김은주 기자,"‘정의당 입’ 노회찬, ‘엘비스 프레슬리’ 복장에 심상정 ‘백설공주’, 유시민 ‘두껑머리’... 무슨 일?"
20170425,아주경제,이정주,??[오늘의 국회 일정(25일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170424,헤럴드경제,고도예 기자,文 저격수에서 호위무사 변신한 심상정? 정의당 안팎 ‘시끌’
20170424,머니투데이,이건희,"심상정 정책브레인, 당내 인사 의원 '중심' 손호철 정태인 교수 '자문'"
20170424,아주경제,최신형,?[오늘의 국회 일정(24일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170423,대전일보,인상준,정의당 심상정 대선후보 24일 대전 방문
20170423,울산매일,노컷뉴스,"심상정, 문재인 비판 토론에 '시끌시끌'한 정의당"
20170422,YTN,장아영,"심상정 ""TV토론 논란, 정의당 단단하게 만들 것"""
20170422,울산매일,디지털미디어국,정의당 심상정 후보 TV광고 영상 공개
20170421,중앙일보,김은빈,심상정 '文 비판' 놓고 정의당 시끌 항의 전화 폭주
20170421,경향신문,박송이 기자 psy@kyunghyang.com,"심상정, ""치열한 과정 통해 정의당 더 단단해질 것"""
20170421,MBC,,[지금 여의도는] TV토론 후 터닝포인트? 정의당 심상정 차별화 전략
20170421,파이낸셜뉴스,최용준,"[선택 2017] 심상정 정의당 후보, 고단한 노동자의 애환 담은 TV광고 공개"
20170421,YTN,장아영,"심상정 ""TV토론 논란, 정의당 단단하게 만들 것"""
20170421,아시아경제,부애리,"심상정, 文 때리자 탈당 후폭풍 ""정의당 더 단단해질것"""
20170421,아시아경제,윤동주,[포토]보고받는 심상정 정의당 후보
20170421,아주경제,이정주,?[오늘의 국회 일정(21일)] 추미애 정우택 박지원 주호영 심상정 등 정당 지도부 종합
20170421,국민일보,전웅빈 기자,토론회 뒤끝? 심상정의 문재인 작심비판에 정의당 홈피 마비 전화 빗발
20170421,경남신문,김용훈기자,심상정 “창원은 정의당의 친정” 지지 호소
20170421,중도일보,연선우 기자,정의당측 문재인 지지자들에 뿔났다? “심상정 ‘문재인 주적’ 돕지 않았다 욕하지말라”
20170420,한국일보,정지용,“심상정 ‘文 때리기’ 실망” 정의당 내홍
20170420,YTN,,심상정 文 비판에 정의당 항의 전화 폭주
20170420,매일경제,,"정의당 심상정 후보, 문재인 비판 '후폭풍' 1천통 넘는 항의전화에 탈당까지"
20170420,머니투데이,,'문팬' 움직였나 심상정 TV토론 후 정의당 거센 후폭풍
20170420,중부일보,홍지예,"정의당 심상정, '대선 TV토론'서 문재인 후보 집중 비난? 누리꾼 실망감 봇물"
20170420,중앙일보,이지상,"정의당 TV토론회 후폭풍 ""심상정, 문재인 공격? 탈당하겠다"""
20170420,매일경제,임성현,TV토론서 文 공격한 심상정 두고 민주당-정의당 신경전
20170420,경향신문,박홍두 기자 phd@kyunghyang.com,TV토론 이후 문자폭탄 항의전화 몰린 정의당 “심상정이 문재인 비판한게 잘못입니까?”
20170420,부산일보,미디어본부15,"유시민, 정의당 심상정 JTBC 썰전 출연 때 ""예쁜데 입이 좀 험했어"" 과거 디스"
20170420,매일경제,,심상정 '文비판' 놓고 술렁이는 정의당 '공개탈당 이어져'
20170420,아시아경제,이은혜,"정의당 노회찬, 대선토론에 ""심상정 유승민, 공격수로 실력 최악은 홍준표"""
20170420,한국경제,김소현,"정의당 'TV 대선토론' 홍역 심상정, 문재인 저격에 일부 당원 '탈당 의사'"
20170420,광주일보,이종행,[정의당 심상정] 인지도 호감도 높아 진보정당 확장성 한계
20170420,경인일보,양형종,심상정 '文 작심비판' 시끌 정의당 홈페이지 접속 불가
