일자,언론사,기고자,제목
20180630,한국경제,이미나(helper@hankyung.com),"탁현민 행정관, 평양공연 후 사의 표명  문재인 대통령과의 인연은?"
20180630,세계일보,정지혜,"문대통령, 몸살 회복 후 2일 복귀 '강행군' 재개"
20180630,한라일보,연합뉴스 기자 hl@ihalla.com,"문대통령, 다음 주 복귀 '뜨거운 7월 정국' 예고"
20180630,매일경제,디지털뉴스국,다음 주 복귀하는 문대통령 산적한 현안들은?
20180630,아시아경제,박종일,"[인터뷰]채현일 영등포구청장 당선인 “문재인 박원순 소통 협치 뿌리내리겠다"""
20180630,강원일보,유병욱,문대통령 최측근 사퇴하나 관심 집중
20180630,한겨레,강희철,"문 대통령의 ‘특별감찰관 패싱’, 현명한 선택일까?"
20180630,국민일보,김경택 기자,"문 대통령 “한 미, 군사 동맹 넘어 위대한 동맹으로”"
20180629,한국일보,김정원,조셉 윤 “문 대통령ㆍ트럼프 생각보다 북한 비핵화에 더 오랜 시간 걸릴 것”
20180629,한국경제,손성태(mrhand@hankyung.com),"靑 ""문 대통령 기력 회복중 내주 월요일 업무 복귀"""
20180629,한국경제,이미아(mia@hankyung.com);조미현(mwise@hankyung.com),"주한미군 평택시대 개막 문 대통령 ""'위대한 동맹' 발전 기대"""
20180629,중앙일보,김은빈(kim.eunbin@joongang.co.kr),"유시민 “문 대통령, 무서운 분 같다”고 말한 이유"
20180629,YTN,,문재인 대통령 국정 지지도 73%...2%p 하락
20180629,매일경제,이슈팀,유시민 문재인 언급에 박형준 교수 “온당한 대통령으로서 책무”(썰전)
20180629,경향신문,정희완 기자 roses@kyunghyang.com,"주한미군, 평택시대 본격 개막 문 대통령 “한 미 ‘위대한 동맹’으로 발전 기대”"
20180629,한국경제,조미현(mwise@hankyung.com),"문재인 대통령 ""주한미군사령부는 한 미 동맹의 미래"""
20180629,아시아경제,온라인이슈팀,"‘썰전’ 유시민 작가, 문재인 대통령 무섭다고 말한 이유는?"
20180629,YTN,김도원,"문재인 대통령 ""평택기지, 세계 최고수준...동맹발전 기대"""
20180629,전자신문,성현희,"문 대통령 ""주한미군, 사령부 평택 이전으로 더 안정적 주둔"""
20180629,강원일보,유병욱,문 대통령 이틀간 연차 휴가
20180629,경향신문,손제민 기자 jeje17@kyunghyang.com,문 대통령 “주한미군사령부 한미동맹 초석이자 미래” 평택 이전 축하메시지
20180629,아시아경제,황진영,"문 대통령 ""주한미군은 한미동맹 초석이자 미래"""
20180629,매일경제,김소연,"`썰전` 유시민 ""문재인 대통령, 모든 감정 껴안으려...무서운 분"""
20180629,한국경제,조미현(mwise@hankyung.com),"[청와대 오늘은] 문재인 대통령, 이틀째 병가 靑 ""관저서 휴식 중"""
20180629,동아일보,이호재,문재인 대통령 임명권 행사 재판관들 전향적 판단
20180629,동아일보,김혜란,"유시민 “JP 국민훈장 수여 하되 조문 안간 문 대통령, 무서운 분”"
20180629,서울신문,이기철,‘썰전’ 마지막 방송에서 유시민 “문 대통령 좀 무서운 분”
20180629,국민일보,천금주 기자,[영상] 유시민이 ‘썰전’ 마지막 방송에서 문재인 대통령이 무섭다고 한 이유
20180629,헤럴드경제,송형근 기자,"유시민 “문재인 대통령, 무서운 분 같다” 이유는?"
20180629,디지털타임스,이호승,"문 대통령 민주당, 지지율 동반 하락"
20180629,국제신문,박태우 기자,민생 경제불안에 문재인 대통령 여당 지지도 동반 하락
20180629,경인일보,전상천,"문재인 대통령 '몸살' 오늘까지 휴가, 관저 머물러 청와대 ""기력 회복중"""
20180629,대구일보,이상훈,‘감기몸살’ 문재인 대통령 연차 ...‘이틀간 휴식 기력회복에 전념
20180629,부산일보,박진국,두 차례 무산된 만남 아쉬운 오거돈 '하늘(문재인 대통령)을 봐야 별(가덕도 신공항)을 따지'
20180628,한국일보,강이향,"양현석, 문재인 대통령 표창 공개 ""대한민국 일자리 으뜸기업"""
20180628,한국일보,정상원,이틀 연차 낸 문 대통령 “몸살 회복 중”
20180628,매일신문,매일신문,"[관풍루]규제개혁 성과 미흡하자 문재인 대통령, '준비 미흡하다'며 2차 규제혁신점검회의 전격 취소"
20180628,한국경제,,"[사설] ""규제개혁 제대로 해보자""는 문 대통령이 넘어야 할 것들"
20180628,매일경제,신미래,"‘썰전’ 유시민 “문재인 대통령, 좀 무서운 분 같다”"
20180628,경향신문,손제민 기자 jeje17@kyunghyang.com,청 “문 대통령 기력 회복 중” 내주 월요일 업무 복귀
20180628,MBC,이세옥,"문재인 대통령, 과로로 인한 감기몸살로 이틀 휴가"
20180628,충청일보,이득수 기자,"'감기몸살' 문재인 대통령, 매티스 美 국방장관 접견 최소"
20180628,대전일보,宋忠原,"문 대통령, 29일까지 이틀간 연가... 美 매티스 장관 접견도 취소"
20180628,SBS,,"[B컷 뉴스] ""문 대통령 감기몸살"" '2급 비밀 아니냐'는 질문에 靑 답변은?"
20180628,디지털타임스,박민영,"공영홈쇼핑, 문재인 캠프 출신 최창희 신임 대표 선임"
20180628,디지털타임스,박민영,"공영홈쇼핑, 문재인 캠프 출신 최창희 신임 대표 선임"
20180628,OBS,OBS경인TV,"[OBS 뉴스 오늘1] 문 대통령 ""규제 혁신 답답"""
20180628,한국경제,성수영(syoung@hankyung.com);박상용(yourpencil@hankyung.com),"해양진흥공사 사장에 '문 대통령 동문' 황호선 교수, 해운경력 없어 낙하산 논란"
20180628,세계일보,유태영,몸살감기로 이틀 연가 낸 문재인 대통령
20180628,중부매일,임정기 기자,"문재인 대통령, 피로누적 27~28일 일정 취소 연기"
20180628,한국경제,이미나(helper@hankyung.com),"문재인 대통령 지지율, 2주째 하락 왜? ""민생 경제 불안심리 탓"""
20180628,중앙일보,강태화(thkang@joongang.co.kr),규제혁신회의 돌연 연기  문 대통령 “답답하다 속도 내라”
20180628,서울경제,이주한 기자,"문대통령 피로누적 ""기력 회복하는 중""..네티즌들 ""건강이 최고입니다"""
20180628,강원일보,유병욱,"8월 인도네시아 아시안게임
 청와대 “문 대통령 참석 검토”"
20180628,강원일보,유병욱,문 대통령 “규제혁신 속도 더 내야  답답하다”
20180628,YTN,,문재인 대통령 몸살감기 이번 주 일정 취소...주말까지 휴식
20180628,YTN,,"문 대통령 ""손흥민 어디 갔어"" 논란... 진실은?"
20180628,MBC,임명현,"청와대 ""문 대통령 이틀 연가 관저서 휴식 예정"""
20180628,헤럴드경제,이태형 기자,문대통령 지지율 70.6% 전주대비 4.8%p↓
20180628,아주경제,주진,"문 대통령, 내일까지 휴가 靑 ""기력 회복하는 중"""
20180628,한겨레,성연철,"문 대통령 “양심적 병역거부, 국제인권규칙 따른 대안 필요”"
20180628,한겨레,성연철,"청와대, 문 대통령 연가중에 통상 보고 않기로"
20180628,서울경제,민병권 기자,"피로누적 문 대통령에게 내려진 특단의 '금서령'...靑 ""대통령 기력 회복중"""
20180628,한국경제,뉴스룸,"문재인 대통령, 이틀간 연차휴가 ""기력 회복하는 중"""
20180628,YTN,,"靑 ""문 대통령 이틀간 연가...보고 안 올리기로"""
20180628,YTN,김도원,"문 대통령 몸살감기 금주 일정 취소...""규제개혁회의 연기, 준비 미흡 때문"""
20180628,동아일보,한상준,靑 “문재인 대통령 몸살감기로 주말까지 휴식”
20180628,동아일보,문병기,"격노한 문재인 대통령, 규제혁신회의 3시간전 취소"
20180628,동아일보,문병기,[팩트 체크]G20서 정상들 메모 본뒤 문재인 대통령도 적극활용 나서
20180628,동아일보,,"[사설]문재인 대통령, 규제 회의 전격 취소 ‘답답한’ 관료집단에 대한 엄중 경고다"
20180628,경향신문,손제민 기자 jeje17@kyunghyang.com,문 대통령 일정 어땠길래  靑 “관저에서 기력 회복중  이틀간 연가”
20180628,경향신문,김지환 기자 baldkim@kyunghyang.com,"‘감기몸살’ 문 대통령, 이틀간 연차 내고 관저서 휴식"
20180628,SBS,정유미 기자,"규제혁신회의 돌연 취소 문 대통령 ""답답하다"""
