일자,언론사,기고자,제목
20141231,아시아경제,신범수,[신년사]박근혜 대통령 2015년 신년사 전문
20141231,파이낸셜뉴스,정인홍,"박근혜 대통령 ""北 이끌어내 통일의 길 열어갈 것"""
20141231,파이낸셜뉴스,김주연,"[영상] 박근혜 대통령 신년사 ""꿈과 희망 결실 맺는 한 해 되길"""
20141231,중앙일보,신용호,"박 대통령 ""4만불 시대 여는 기반 다질 것"""
20141231,중앙일보,이가영.김경빈,김무성 빼고  대통령과 친박 7인 만찬 파장
20141231,중도일보,김대중,박근혜 대통령이 보낸 연하장
20141231,중도일보,,박근혜 대통령 신년사는 어떤내용?
20141231,중도일보,,[데스크시각]박근혜 대통령이 보낸 연하장
20141231,중도일보,오주영,박 대통령 신년사는 어떤내용?
20141231,중도일보,,새누리당 '박근혜정부 성공' 의기투합
20141231,서울신문,,박근혜 대통령 신년사 “국민소득 4만불 시대를 여는 기반 다져가겠다”
20141231,서울신문,,박근혜 대통령 신년사 “불굴의 의지로 합심해 한강의 기적을 ”
20141231,서울신문,,박근혜 대통령 신년사 “불굴의 의지로 한강의 기적 4만불 시대 기반 다져가겠다”
20141231,MBC,김세로 기자,"박 대통령 ""새해엔 통일 국민소득 4만 달러 기반 마련”"
20141231,중부일보,,"[신년 메시지] 박근혜 대통령 ""경제회복 불꽃 살리는 한 해 되길"""
20141231,영남일보,이영란," 박 대통령 새해 1일 신년사, 2일 신년 인사회"
20141231,경상일보,김두수 기자,[박근혜 대통령 신년사]“경제회복 불씨 살려 소득 4만달러 시대 기반 다진다”
20141231,강원도민일보,남궁창성,박 대통령의 을미년 신년 메시지는?
20141231,국민일보,남혁상 기자,박 대통령의 새해구상은
20141231,국민일보,남혁상 기자,"박 대통령 신년사에서 ‘경제, 통일, 하나된 마음’ 강조"
20141231,국민일보,김영석 기자,"박지원,""박 대통령 대국민사과할때""왜?"
20141231,국민일보,남혁상 기자,박 대통령 “분단 70년 마감하고 통일의 길 열어갈 것” 신년 메시지
20141231,국민일보,김영석 기자,"박 대통령 ""산을 만나면 길을 내고 물을 만나면 다리를 놓을 것"""
20141231,경향신문,,박 대통령 신년사 “통일기반 구축 경제회복 불꽃”
20141231,경향신문,"심혜리
정환보",박 대통령의 2년 “못했다” 52.7%
20141231,경향신문,디지털뉴스팀,김무성 “우리 박 대통령이 다 좋은데 소통이 부족하다고  ”
20141231,경향신문,디지털뉴스팀,"나경원, 박 대통령 ‘소통 부족’ 지적 “집사광익이라는 말이 있다”"
20141231,한국경제,,"박근혜 대통령, 유튜브 통해 신년 메시지 ""통일의 길 열어갈 것"""
20141231,국제신문,손균근,"5면박근혜 대통령, 신년메시지 뭘 담나(4매)"
20141231,부산일보,,"박근혜 대통령 신년사 ""경제 회복이 시급한 과제"""
20141231,부산일보,,"박근혜 대통령 축하 메시지 ""대한민국 재도약에 선도적인 역할 해 주길"""
20141231,부산일보,,박 대통령 신년 메시지 '경제살리기 구조개혁' 담나
20141231,부산일보,,"박 대통령, 유튜브에 신년사 ""분단 70년 갈등 끝내고 실질적 통일기반 구축"""
20141231,중부일보,,"박 대통령 ""분단 70년 마감하고 통일의 길 열어가자"""
20141231,서울경제,,[박근혜 대통령 신년사 전문]
20141231,서울경제,,[박근혜 대통령 신년사로 본 새해 구상] 경제회복 최우선 남북관계 개선 통해 통일기반 구축
20141231,서울경제,,"박근혜 대통령 신년사, ""경제활력 회복해 소득 4만달러시대 기반 다질 것"""
20141231,서울경제,,[박근혜 대통령 신년사] “경제활력 회복해 국민소득 4만불 시대 기반 다질 것”
20141231,KBS,이재원,박 대통령 신년사 “새로운 70년 출발점 서 있다”
20141231,내일신문,백만호,"박 대통령 ""경제활력 회복 시급"""
20141231,중부일보,,박근혜 대통령 신년사 “적폐 해소하는 일 흔들림 없이 추진”
20141231,중부일보,,"김무성 ""박 대통령, 의원들 만나 소통하는 것 좋은 일"""
20141231,디지털타임스,,[2015 신년사] 박근혜 대통령
20141231,한겨레,,영화진흥위원장에 김세훈 교수 박 대통령 싱크탱크 ‘미래연’ 출신
20141231,매일경제,,"박 대통령 을미년 신년사 ""통일의 길 열겠다"""
20141231,충청일보,이득수,박 대통령 “새해는 새로운 대한민국의 70년을 시작하는 출발점”
20141231,매일경제,,"박근혜 대통령 신년사 ""4만불시대 기반 다질 것"""
